# capture_start_utc=2026-08-29T17:33:14Z
[[DEBUG]] Starting [[SENSOR TASK]]
[SELFTEST] compensate: T=150 (exp 150)  P=69964 (exp 69964)  -> PASS
#BMP180 v1 fw=1.4.0 temp_ms=1000
[[DEBUG]] BMP180 registered on /dev/bmp180-0
S 46698 298 101643 0
S 51697 298 101652 0
S 56697 298 101646 0
S 61697 298 101649 0
S 66696 298 101640 0
S 71696 298 101646 0
S 76696 298 101640 0
S 81695 298 101652 0
S 86695 298 101646 0
S 91695 298 101640 0
S 96695 298 101646 0
S 101694 298 101631 0
S 106694 298 101643 0
S 111694 298 101655 0
S 116693 298 101640 0
S 121693 298 101646 0
S 126693 298 101640 0
S 131692 298 101652 0
S 136692 298 101634 0
S 141692 298 101640 0
S 146691 298 101640 0
S 151691 298 101634 0
S 156691 298 101634 0
S 161690 298 101640 0
S 166690 298 101637 0
S 171690 298 101637 0
S 176690 298 101631 0
S 181689 298 101643 0
S 186689 298 101640 0
S 191689 298 101631 0
S 196688 298 101634 0
S 201688 298 101634 0
S 206688 298 101628 0
S 211687 298 101634 0
S 216687 298 101640 0
S 221687 298 101628 0
S 226686 298 101634 0
S 231686 298 101631 0
S 236686 298 101625 0
S 241685 298 101631 0
S 246685 298 101628 0
S 251685 298 101628 0
S 256685 298 101634 0
S 261684 298 101631 0
S 266684 298 101625 0
S 271684 298 101631 0
S 276683 298 101628 0
S 281683 298 101625 0
S 286683 298 101628 0
S 291682 298 101628 0
S 296682 298 101622 0
S 301682 298 101625 0
S 306681 298 101631 0
S 311681 298 101622 0
S 316681 298 101631 0
S 321680 298 101628 0
S 326680 298 101637 0
S 331680 298 101634 0
S 336680 298 101634 0
S 341679 298 101625 0
S 346679 298 101625 0
S 351679 298 101622 0
S 356678 298 101622 0
S 361678 298 101616 0
S 366678 298 101625 0
S 371677 298 101625 0
S 376677 298 101622 0
S 381677 298 101619 0
S 386676 298 101628 0
S 391676 298 101625 0
S 396676 298 101625 0
S 401675 298 101628 0
S 406675 298 101628 0
S 411675 298 101622 0
S 416675 298 101625 0
S 421674 298 101628 0
S 426674 298 101625 0
S 431674 298 101616 0
S 436673 298 101619 0
S 441673 298 101625 0
S 446673 298 101622 0
S 451672 298 101628 0
S 456672 298 101622 0
S 461672 298 101622 0
S 466671 298 101622 0
S 471671 298 101616 0
S 476671 298 101622 0
S 481670 298 101619 0
S 486670 298 101616 0
S 491670 298 101622 0
S 496670 298 101613 0
S 501669 298 101613 0
S 506669 298 101622 0
S 511669 298 101628 0
S 516668 298 101622 0
S 521668 298 101622 0
S 526668 298 101622 0
S 531667 298 101613 0
S 536667 298 101613 0
S 541667 298 101608 0
S 546666 298 101616 0
S 551666 298 101613 0
S 556666 298 101608 0
S 561665 298 101616 0
S 566665 298 101616 0
S 571665 298 101622 0
S 576665 298 101622 0
S 581664 298 101628 0
S 586664 298 101616 0
S 591664 298 101622 0
S 596663 298 101625 0
S 601663 298 101631 0
S 606663 298 101625 0
S 611662 298 101619 0
S 616662 298 101622 0
S 621662 298 101622 0
S 626661 298 101622 0
S 631661 298 101622 0
S 636661 298 101622 0
S 641660 298 101625 0
S 646660 298 101622 0
S 651660 298 101622 0
S 656660 298 101616 0
S 661659 298 101616 0
S 666659 298 101622 0
S 671659 298 101622 0
S 676658 298 101616 0
S 681658 298 101616 0
S 686658 298 101616 0
S 691657 298 101616 0
S 696657 298 101622 0
S 701657 298 101613 0
S 706656 298 101619 0
S 711656 298 101616 0
S 716656 298 101608 0
S 721655 298 101622 0
S 726655 298 101616 0
S 731655 298 101622 0
S 736655 298 101605 0
S 741654 298 101616 0
S 746654 298 101622 0
S 751654 298 101616 0
S 756653 298 101616 0
S 761653 298 101622 0
S 766653 298 101616 0
S 771652 298 101613 0
S 776652 298 101622 0
S 781652 298 101622 0
S 786651 298 101613 0
S 791651 298 101608 0
S 796651 298 101613 0
S 801650 298 101608 0
S 806650 298 101616 0
S 811650 298 101622 0
S 816650 298 101616 0
S 821649 298 101613 0
S 826649 298 101605 0
S 831649 298 101619 0
S 836648 298 101613 0
S 841648 298 101608 0
S 846648 298 101625 0
S 851647 298 101619 0
S 856647 298 101613 0
S 861647 298 101608 0
S 866646 298 101616 0
S 871646 298 101613 0
S 876646 298 101613 0
S 881645 298 101613 0
S 886645 298 101613 0
S 891645 298 101622 0
S 896645 298 101622 0
S 901644 298 101616 0
S 906644 298 101622 0
S 911644 298 101605 0
S 916643 298 101613 0
S 921643 298 101613 0
S 926643 298 101613 0
S 931642 298 101605 0
S 936642 298 101613 0
S 941642 298 101608 0
S 946641 298 101605 0
S 951641 298 101613 0
S 956641 298 101622 0
S 961640 298 101625 0
S 966640 298 101613 0
S 971640 298 101613 0
S 976640 298 101608 0
S 981639 298 101605 0
S 986639 298 101608 0
S 991639 298 101622 0
S 996638 298 101605 0
S 1001639 298 101602 0
S 1006638 298 101608 0
S 1011637 298 101608 0
S 1016637 298 101613 0
S 1021637 298 101608 0
S 1026643 298 101608 0
S 1036636 299 101655 0
S 1041635 299 101649 0
S 1046635 299 101649 0
S 1051635 299 101649 0
S 1056635 299 101649 0
S 1061634 299 101649 0
S 1066634 299 101643 0
S 1071634 299 101640 0
S 1076640 299 101649 0
S 1081633 299 101655 0
S 1086633 299 101646 0
S 1091632 299 101640 0
S 1096632 299 101649 0
S 1101632 299 101646 0
S 1106631 299 101640 0
S 1111638 299 101649 0
S 1116631 299 101646 0
S 1121630 299 101640 0
S 1126630 299 101649 0
S 1131630 299 101655 0
S 1136630 299 101649 0
S 1141629 299 101652 0
S 1146636 299 101649 0
S 1151629 299 101649 0
S 1156628 299 101646 0
S 1161628 299 101646 0
S 1166628 299 101652 0
S 1171627 299 101643 0
S 1176627 299 101652 0
S 1181634 299 101655 0
S 1186626 299 101649 0
S 1191626 299 101649 0
S 1196626 299 101646 0
S 1201625 299 101652 0
S 1206625 299 101649 0
S 1211625 299 101640 0
S 1216632 299 101643 0
S 1221624 299 101640 0
S 1226624 299 101649 0
S 1231624 299 101649 0
S 1236623 299 101649 0
S 1241623 299 101652 0
S 1246623 299 101649 0
S 1251622 299 101649 0
S 1256622 299 101652 0
S 1261622 299 101646 0
S 1266628 299 101640 0
S 1271621 299 101646 0
S 1276621 299 101643 0
S 1281620 299 101649 0
S 1286620 299 101643 0
S 1291620 299 101649 0
S 1296620 299 101649 0
S 1301626 299 101655 0
S 1306619 299 101649 0
S 1311619 299 101649 0
S 1316618 299 101652 0
S 1321618 299 101652 0
S 1326618 299 101661 0
S 1331617 299 101646 0
S 1336624 299 101652 0
S 1341617 299 101655 0
S 1346616 299 101661 0
S 1351616 299 101646 0
S 1356616 299 101661 0
S 1361615 299 101646 0
S 1366615 299 101640 0
S 1371622 299 101652 0
S 1376615 299 101643 0
S 1381614 299 101643 0
S 1386614 299 101652 0
S 1391614 299 101649 0
S 1396613 299 101646 0
S 1401613 299 101649 0
S 1406613 299 101649 0
S 1411612 299 101649 0
S 1416612 299 101652 0
S 1421612 299 101646 0
S 1426611 299 101643 0
S 1431611 299 101646 0
S 1436611 299 101652 0
S 1441610 299 101643 0
S 1446610 299 101646 0
S 1451610 299 101649 0
S 1456617 299 101646 0
S 1461609 299 101661 0
S 1466609 299 101652 0
S 1471609 299 101652 0
S 1476608 299 101655 0
S 1481608 299 101655 0
S 1486608 299 101655 0
S 1491614 299 101652 0
S 1496607 299 101652 0
S 1501607 299 101652 0
S 1506606 299 101655 0
S 1511606 299 101649 0
S 1516606 299 101646 0
S 1521605 299 101646 0
S 1526612 299 101643 0
S 1531605 299 101652 0
S 1536605 299 101646 0
S 1541604 299 101640 0
S 1546604 299 101649 0
S 1551604 299 101643 0
S 1556603 299 101655 0
S 1561610 299 101652 0
S 1566603 299 101649 0
S 1571602 299 101646 0
S 1576602 299 101649 0
S 1581602 299 101646 0
S 1586601 299 101655 0
S 1591601 299 101640 0
S 1596601 299 101649 0
S 1601600 299 101643 0
S 1606600 299 101643 0
S 1611600 299 101646 0
S 1616600 299 101649 0
S 1621599 299 101646 0
S 1626599 299 101649 0
S 1631599 299 101652 0
S 1636598 299 101652 0
S 1641598 299 101655 0
